year_int,title_canonical,occurrences
2018,daughters of eve story night open to all girls in the community age 15 and older,3
2018,bangladesh visa passport renewal,2
2018,grief support group,2
2018,abdul rahman s dinner event,1
2018,afghan community gathering,1
2019,sons of adam halaqa,52
2019,women morning quran halaqa,52
2019,youth leadership club future stars,52
2019,lectures on seerah of prophet,48
2019,quran halaqa for women,28
2019,bilal sunday school,23
2019,tutoring k 8,21
2019,omma kids,14
2019,sons of adam youth group must be registered to attend,14
2019,food pantry,12
2019,exploring the quran with imam toure,11
2019,lecture series on the seerah of prophet by sheikh yasir qadhi,11
2019,omma kids halaqa,8
2019,after school homework help,7
2019,interfaith meeting,6
2019,interfaith meting,5
2019,community potluck dinner,2
2019,corbett middle school students visiting bilal nov 4 6,2
2019,quran halaqa,2
2019,scrap booking,2
2020,women morning quran halaqa,52
2020,lectures on seerah of prophet,45
2020,sons of adam halaqa,45
2020,youth leadership club future stars,45
2020,lecture series on the seerah of prophet by sheikh yasir qadhi,28
2020,quran halaqa for women,27
2020,food pantry,21
2020,exploring the quran with imam toure,10
2020,python coding workshop,8
2020,community potluck dinner,5
2020,homework help cool islam,5
2020,omma kids,5
2020,quran class,5
2020,livecast lecture by imam toure,3
2020,livecast lecture by imam toure lecture with isgp,3
2020,scrap booking,3
2020,imam toure s quran tafseer class,2
2020,indian american muslim council meeting,2
2020,youth mental health first aid training,2
2020,community potluck,1
2021,food pantry,24
2021,imam toure s quran tafseer class,12
2021,lecture series on the seerah of prophet by sheikh yasir qadhi,1
2021,sons of adam halaqa,1
2021,youth leadership club future stars,1
2022,kids quran class,44
2022,food pantry,24
2022,bilal sunday school,15
2022,community pot lucks,13
2022,imam toure s quran tafseer class,12
2022,ladies support group halaqa,8
2022,sisters tajweed halaqah bangla,8
2022,illustrated tajweed english,7
2022,lives of our prophet s,6
2022,women halqaa,3
2022,cool islam workshop,1
2022,mydoor,1
2022,mydoor boys caravan,1
2022,mydoor girls caravan meeting,1
2023,kids quran class,69
2023,free kids quran class over summer break,52
2023,illustrated tajweed english,49
2023,ladies support group halaqa,40
2023,sisters tajweed halaqah bangla,36
2023,community pot lucks,33
2023,bilal sunday school,24
2023,cool islam summer camp,24
2023,bilal and cool islam arabic school,23
2023,sisters tajweed halaqah english,13
2023,sunday school,13
2023,women halqaa,12
2023,imam toure s quran tafseer class,11
2023,food pantry,9
2023,ladies halaqa nights of light,9
2023,bilal arabic school,4
2023,spring break camp for the kids,4
2023,homeschool group meeting,3
2023,women halqaa in arabic,3
2023,homeschool gathering,2
2024,arabic school at bilal,58
2024,illustrated tajweed english,44
2024,ladies support group halaqa,32
2024,sisters tajweed halaqah english,32
2024,bilal and cool islam arabic school,24
2024,sunday school,21
2024,bilal arabic school,20
2024,community pot lucks,18
2024,homeschool gathering,18
2024,homeschool group meets,14
2024,ladies quran halaqa arabic speakers,14
2024,ladies halaqa nights of light,13
2024,sisters tajweed halaqah bangla,12
2024,imam toure s quran tafseer class,9
2024,homeschool group,2
2024,homeschool meeting,2
2024,jesuit highschool students visit,2
2024,mas portland chapter open halaqa,2
2024,aasim biloo community event,1
2024,aqiqah,1
2025,illustrated tajweed english,38
2025,sisters tajweed halaqah english,38
2025,homeschool classes,36
2025,ladies halaqa nights of light,24
2025,preschool,24
2025,homeschool group meets,23
2025,homeschool gathering,21
2025,ladies quran halaqa arabic speakers,20
2025,ladies support group halaqa,14
2025,arabic school at bilal,13
2025,toastmasters,11
2025,imam toure s quran tafseer class,10
2025,toastmaster meeting,9
2025,community iftar,7
2025,kids summer camp,6
2025,web development workshop,6
2025,revert radiance sisters only,5
2025,community pot lucks,3
2025,muslim leaders workshop,3
2025,qsc halaqah 2025,3
2026,illustrated tajweed english,10
2026,sisters tajweed halaqah english,10
2026,ladies support group halaqa,9
2026,ladies quran halaqa arabic speakers,8
2026,community pot lucks,2
2026,imam toure s quran tafseer class,2
